onset	duration	trial_type	response_time
30.809	11.2	n/a	9.818
42.807	11.2	n/a	10.022
56.021	11.2	n/a	10.147
68.019	11.2	n/a	10.197
82.417	11.2	n/a	n/a
96.815	11.2	n/a	10.009
108.813	11.2	low	10.027
122.011	11.2	n/a	n/a
136.409	11.2	low	10.115
149.623	11.2	n/a	10.239
164.021	11.2	n/a	10.732
178.419	11.2	n/a	10.016
191.616	11.2	n/a	9.97299999999998
204.814	11.2	n/a	9.84999999999999
216.812	11.2	high	9.72399999999999
258.822	11.2	n/a	9.78699999999998
272.02	11.2	n/a	9.91300000000001
284.019	11.2	n/a	n/a
298.416	11.2	n/a	10.244
310.414	11.2	n/a	9.89500000000004
324.812	11.2	n/a	10.339
336.81	11.2	n/a	10.001
350.008	11.2	n/a	9.99200000000002
364.422	11.2	n/a	10.02
377.62	11.2	high	9.964
392.018	11.2	low	9.55900000000003
406.416	11.2	n/a	10.359
418.414	11.2	n/a	9.68100000000004
431.612	11.2	n/a	10.005
443.61	11.2	low	10.499
486.82	11.2	low	9.91500000000002
500.018	11.2	n/a	10.183
514.415	11.2	n/a	10.061
527.613	11.2	high	10.5179999999999
542.011	11.2	n/a	10.388
556.409	11.2	n/a	9.89499999999998
569.607	11.2	n/a	10.154
584.021	11.2	low	9.8420000000001
598.419	11.2	n/a	10.308
610.417	11.2	n/a	9.73599999999999
622.415	11.2	n/a	9.75100000000009
634.413	11.2	n/a	9.73199999999997
647.611	11.2	n/a	9.78100000000006
660.809	11.2	n/a	10.1890000000001
672.807	11.2	n/a	9.81100000000004
