onset	duration	trial_type	response_time
31.114	9.6	n/a	5.414
44.314	9.6	n/a	5.287
56.314	9.6	low	5.385
68.314	9.6	low	5.14700000000001
79.114	9.6	n/a	5.672
91.114	9.6	low	5.827
104.313	9.6	low	6.145
115.113	9.6	n/a	6.27800000000001
125.913	9.6	low	5.313
139.113	9.6	low	5.11699999999999
152.313	9.6	n/a	7.40100000000001
163.112	9.6	n/a	5.255
175.112	9.6	low	5.05100000000002
185.912	9.6	high	5.166
196.712	9.6	low	5.71700000000001
208.712	9.6	low	5.19300000000001
220.712	9.6	low	5.18700000000001
233.911	9.6	low	5.398
277.111	9.6	n/a	5.88999999999999
289.111	9.6	low	5.07900000000001
302.324	9.6	n/a	5.99399999999997
315.524	9.6	low	5.488
326.323	9.6	low	5.36400000000003
337.123	9.6	high	5.286
350.323	9.6	n/a	6.28100000000001
362.323	9.6	low	5.43299999999999
374.323	9.6	low	5.541
385.123	9.6	n/a	5.541
395.922	9.6	low	5.548
409.122	9.6	low	5.25200000000001
419.922	9.6	low	5.077
431.922	9.6	n/a	5.77299999999997
443.922	9.6	high	5.154
457.122	9.6	low	5.13599999999997
467.921	9.6	low	4.99900000000002
481.121	9.6	n/a	5.49299999999999
523.121	9.6	low	5.16600000000005
535.12	9.6	low	5.31299999999999
545.92	9.6	low	5.03899999999999
557.92	9.6	high	5.41200000000003
571.12	9.6	high	6.14400000000001
583.12	9.6	low	5.87199999999996
596.32	9.6	n/a	5.3309999999999
607.119	9.6	low	5.32899999999995
617.919	9.6	low	5.25
631.119	9.6	low	5.77199999999993
641.919	9.6	n/a	5.59500000000003
653.919	9.6	n/a	5.31600000000003
665.919	9.6	n/a	6.03700000000003
679.118	9.6	n/a	5.0569999999999
689.918	9.6	low	5.29499999999996
703.118	9.6	low	5.17399999999998
716.318	9.6	low	5.11000000000001
727.118	9.6	n/a	5.06699999999989
