onset	duration	trial_type	response_time
30.819	11.2	n/a	9.608
45.216	11.2	n/a	9.907
58.414	11.2	n/a	9.685
71.612	11.2	n/a	10.101
86.01	11.2	n/a	9.746
98.008	11.2	n/a	9.60900000000001
110.006	11.2	low	9.744
123.22	11.2	n/a	9.697
137.618	11.2	low	9.49700000000001
149.616	11.2	n/a	10.001
162.814	11.2	n/a	9.67700000000002
176.012	11.2	n/a	9.65899999999999
190.41	11.2	n/a	9.77000000000001
204.807	11.2	n/a	n/a
216.805	11.2	high	10.122
258.815	11.2	n/a	9.93200000000002
270.813	11.2	n/a	9.62600000000003
284.011	11.2	n/a	9.79699999999997
296.009	11.2	n/a	9.81099999999998
310.407	11.2	n/a	9.803
324.805	11.2	n/a	9.57099999999997
336.82	11.2	n/a	9.75900000000001
348.818	11.2	n/a	9.88600000000002
363.215	11.2	n/a	10.178
376.413	11.2	high	n/a
389.611	11.2	low	10.772
401.609	11.2	n/a	10.06
414.807	11.2	n/a	9.524
428.005	11.2	n/a	9.52600000000001
442.419	11.2	low	9.70400000000001
486.812	11.2	low	9.61199999999997
498.81	11.2	n/a	9.63499999999999
513.208	11.2	n/a	9.447
526.406	11.2	high	9.5680000000001
539.62	11.2	n/a	9.60400000000004
554.018	11.2	n/a	9.84399999999994
567.216	11.2	n/a	9.57500000000005
579.214	11.2	low	10.2809999999999
592.412	11.2	n/a	10.39
604.41	11.2	n/a	n/a
616.408	11.2	n/a	9.83600000000001
630.806	11.2	n/a	9.62599999999998
642.821	11.2	n/a	9.68799999999999
657.218	11.2	n/a	9.79399999999998
671.616	11.2	n/a	10.564
