onset	duration	trial_type	response_time
31.109	9.6	n/a	6.42599999999999
43.108	9.6	low	5.3
56.308	9.6	low	5.167
67.107	9.6	low	5.238
79.106	9.6	n/a	5.40100000000001
89.905	9.6	low	5.825
103.104	9.6	n/a	5.655
115.103	9.6	n/a	5.521
125.902	9.6	low	5.47099999999999
139.101	9.6	low	5.27199999999999
152.3	9.6	n/a	5.447
164.3	9.6	low	5.30199999999999
177.512	9.6	low	5.32599999999999
188.311	9.6	high	5.53999999999999
200.31	9.6	n/a	5.54599999999999
212.309	9.6	low	5.33699999999999
223.109	9.6	low	5.33799999999999
233.908	9.6	low	6.38500000000002
277.105	9.6	low	5.25
290.304	9.6	n/a	5.673
302.303	9.6	low	5.85599999999999
313.102	9.6	low	5.495
325.101	9.6	low	6.16199999999998
338.3	9.6	n/a	5.786
350.313	9.6	n/a	7.46699999999998
361.112	9.6	high	5.66999999999996
374.311	9.6	low	5.69800000000004
385.11	9.6	low	5.29599999999999
397.109	9.6	low	5.49200000000002
410.308	9.6	low	5.61099999999999
421.107	9.6	high	5.46099999999996
431.907	9.6	low	5.35500000000002
445.106	9.6	n/a	6.47199999999998
457.105	9.6	n/a	5.40899999999999
469.104	9.6	low	5.48700000000002
479.903	9.6	n/a	5.82900000000001
523.1	9.6	n/a	5.40899999999999
535.112	9.6	n/a	6.596
545.912	9.6	n/a	5.226
556.711	9.6	low	5.36099999999999
568.71	9.6	n/a	5.21199999999999
579.509	9.6	low	5.33399999999995
592.708	9.6	n/a	5.51600000000008
605.907	9.6	low	5.43399999999997
617.906	9.6	high	5.52800000000002
631.105	9.6	n/a	5.43200000000002
643.104	9.6	high	5.5809999999999
653.904	9.6	low	5.255
665.903	9.6	low	5.25699999999995
679.102	9.6	low	5.69799999999998
691.101	9.6	low	5.10299999999995
701.9	9.6	low	5.40200000000004
712.713	9.6	low	5.78700000000003
725.912	9.6	low	5.63400000000001
