csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3269.583704399944	2914.8566831632843	3827.992994743227	n/a	n/a	n/a	-0.1537785889	-0.0293811489	0.0097442087	-0.0197989358	0.0437464158	-0.1873429285	-0.11210902060000001	0.1103513707	-0.09449500970000001	0.09105170619999998	-0.0463829767	0.0159659857	0.0880434588	0.08803856339999999	0.08803040460000001	0.000241454	0.0753858	0.0753901	0.00107461	-0.0	0.000172987
3222.4604621350963	2910.924393580541	3808.731614417451	1.233212	36.116108	0.045080845999999994	-0.16642760939999998	-0.0359292783	0.047972101100000004	-0.0354895972	-0.08668714460000002	-0.10216077550000001	-0.1191784664	0.125348068	-0.09384305820000001	0.0553918367	-0.1125977957	0.0225701119	0.08803040460000001	0.0879863512	0.08791294529999999	0.004336	0.0666984	0.0833642	0.00114881	-2.1033899999999998e-23	0.000585283
3187.05826244165	2913.0734165366807	3803.3431158233775	0.958733	28.077648	0.05996132500000001	-0.17104816690000002	-0.012890855900000001	0.0728888691	0.0214783827	0.0641437502	-0.13926601519999998	-0.1097540375	0.1116971739	-0.0461467685	0.0178186432	-0.14189468289999999	-0.044664402400000004	0.08800429800000001	0.0878819578	0.08767818349999999	0.017348599999999995	0.0862292	0.0899814	0.00135287	8.19285e-05	0.000715309
3187.9569124600603	2915.959529973105	3814.7547019746635	1.008468	29.534203	0.10665678999999999	-0.1482571336	-0.0025068124	0.0211267714	-0.0589620622	0.06404432019999999	-0.0473787564	-0.1167647651	0.0878771606	-0.0527253607	-0.0170673215	-0.044835402999999996	-0.025529628500000002	0.08796514300000001	0.0877254451	0.0873264324	0.0153224	0.132771	0.108273	0.00186148	-5.49553e-05	0.000865759
3201.003376098769	2921.1399872009497	3827.3954708044735	0.977977	28.641237	0.049560134999999984	-0.1349286092	-0.029690514100000003	-0.0710462026	0.0446109064	0.049888802999999995	-0.1367473415	-0.0918178801	0.0973782881	-0.0712102607	0.0130620274	0.012990013	0.035476383199999996	0.08791294529999999	0.08751690599999999	0.08685816140000001	0.0112599	0.116702	0.103202	0.00216534	-0.000195488	0.0009085190000000002
3202.6816413450847	2921.767529272652	3817.8144803365612	0.944267	27.65398	0.02466485	-0.1357750703	-0.046021918700000004	-0.0864622603	-0.0007527416	0.0037672686	-0.1104286431	-0.0812650879	0.0804242605	-0.0875936023	-0.0194596218	0.0378580782	-0.014945745	0.0878477127	0.087256464	0.08627399529999999	0.0108168	0.110849	0.0968448	0.00209728	-0.000145148	0.00103035
3192.8813190932874	2921.280027698819	3805.820029034105	0.992226	29.058527	0.13818623000000002	-0.1198393986	-0.0296774394	-0.0122549593	0.0131565066	-0.0325733125	-0.0362481836	-0.0925191583	0.08071231599999999	-0.0600071494	0.0074095765	0.0006756717999999999	0.015333066499999999	0.0877694549	0.08694427369999999	0.0855747135	0.0257194	0.0880938	0.150361	0.00233115	1.61866e-05	0.00157539
3191.814266171261	2921.2714750396285	3797.262643446748	0.940182	27.53437	0.12255377199999998	-0.1090271341	-0.0225790506	0.015486944099999999	-0.031140243300000002	0.0215697385	0.0467126212	-0.0972839741	0.07434077730000001	-0.0529466418	-0.0156587612	-0.0051701739	0.0400214299	0.08767818349999999	0.0865805201	0.084761249	0.043719	0.12372	0.176429	0.00266339	-5.06284e-06	0.0020791
3185.1511997980097	2917.3770402701707	3800.777709099857	0.950474	27.835772	0.086079893	-0.10535802699999999	-0.0107509905	0.0172188819	-0.0087230803	0.0033885708000000003	-0.0226577131	-0.0958141011	0.0634934024	-0.024648149900000003	0.0025030526999999998	-0.010640526200000002	-0.0144155705	0.08757391199999999	0.0861654192	0.0838346874	0.0472795	0.174783	0.17117	0.00309296	-8.75007e-05	0.00206716
3195.6273890603065	2917.4864399368544	3810.420050160699	0.983041	28.789522	0.11976851499999992	-0.1147997755	-0.0275851416	-0.0393024529	-0.0108407449	0.0299352885	0.0016084372	-0.0810653609	0.0672161246	-0.039404043300000004	-0.0185805117	-0.022666275899999998	-0.017150443	0.0874566558	0.0856992169	0.0827962648	0.0498969	0.141931	0.12674800000000003	0.00353568	-0.000233783	0.0022757
