csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	non_steady_state_outlier03	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3599.35799867185	2919.0112665747697	4410.414272431818	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0379167	0.0	0.0	-0.0	0.0
3524.204794938378	2915.9274230034107	4387.04791788062	1.380551	31.675282	0.037164497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.000752203	0.0	0.0	-0.0	0.0
3493.2601837656957	2915.504801144564	4375.003718379893	1.031579	23.66848	0.087351101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.000746654	0.0108054	0.0281305	0.000519364	-0.0	-0.000449051
3482.961462549659	2918.5601959744904	4367.6652933769865	1.148865	26.359491	0.11123544599999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.00314585	0.101835	0.0348123	0.000645748	-0.0	-0.000545164
3486.450363489633	2920.5190498707298	4366.507422293983	1.425153	32.698616	0.11684709	-0.0646106858	-0.094402289	0.0190937355	-0.0403235064	0.025725200499999996	-0.0116729796	0.0588564845	-0.0887070526	0.061357635199999996	-0.0375052296	0.08535310730000001	-0.0162350427	0.0883866838	0.0883816922	0.0883733731	0.0	0.0	0.0	0.0	-0.00919524	0.161112	0.0252817	0.00035111	-0.0	0.0
3474.817411030345	2923.1366501797124	4361.299969202654	1.449475	33.256672	0.19061789	-0.0133452048	-0.1355148853	0.00027860330000000004	0.0409044054	-0.014480326699999999	-0.0107462986	-0.0236964732	-0.1221972537	0.0690305947	-0.030774814100000002	0.0454813854	-0.0067842369	0.0883733731	0.0883284543	0.0882536067	0.0	0.0	0.0	0.0	-0.0182808	0.0531934	-0.00929203	0.000321446	0.000317263	-0.000433873
3468.3609860152833	2918.2861397653505	4352.9279210065415	1.387614	31.837328	0.14223217	-0.015527548799999999	-0.097241934	-0.1026076223	0.025513496099999998	-0.0306002624	0.0164098802	-0.0360954165	-0.0656676189	0.1126477134	0.0262901813	-0.07993231	0.0703652939	0.0883467536	0.0882220108	0.0880142364	0.0	0.0	0.0	0.0	-0.026273	-0.0108003	-0.00151561	0.00103879	0.000382873	-0.0009003159999999999
3468.5872631218626	2924.2006331093153	4352.039894960077	1.141977	26.20146	0.15398469	-0.0113713377	-0.1091979606	-0.1131010584	-0.031229996099999997	-0.0519924596	-0.06638933429999999	-0.054092523200000006	-0.0338756366	0.136282028	-0.016740263300000002	-0.0926414497	0.0153625987	0.08830682949999999	0.08806242550000001	0.08765558650000001	0.0	0.0	0.0	0.0	-0.0443358	-0.0251915	-0.0140942	0.00205556	0.000219615	-0.00189933
3470.6116451999396	2923.363291819797	4343.154424535538	0.961421	22.058786	0.05963537	0.0045483389	-0.10446014140000001	-0.1144514626	-0.0722429522	-0.050028605	-0.087015675	-0.0646881617	-0.0260069695	0.1429230211	-0.0463391855	-0.0778064204	0.021723274100000002	0.0882536067	0.0878497948	0.08717814300000001	0.0	0.0	0.0	0.0	-0.0485441	-0.00962104	-0.00371794	0.00213843	0.000334612	-0.00229107
3464.5450642844594	2924.2262369766045	4335.586097520072	1.035286	23.753546	0.06542398	0.010698456399999999	-0.0763005359	-0.0935656845	-0.0844605203	-0.012884251599999999	-0.10433766050000001	-0.06521560259999999	0.017382798	0.12180969550000001	-0.049064693	-0.0309207208	-0.0056129833999999995	0.0881870933	0.0875842466	0.086582553	0.0	0.0	0.0	0.0	-0.0479556	0.0269646	0.0133515	0.00206599	0.00039583	-0.00220112
3462.698398593241	2920.409680264776	4331.9457771395055	1.2458570000000002	28.58486	0.18069	0.029581586400000002	-0.0668164371	-0.0509038016	-0.1371741193	-0.0184425417	-0.0881846018	-0.0626658655	0.015582554399999999	0.0818297437	-0.1015458551	0.0037127290999999997	0.0771706834	0.0881072992	0.087265941	0.0858696237	0.0	0.0	0.0	0.0	-0.0522243	0.0862789	0.0154877	0.000839798	0.000882314	-0.0016143799999999997
3458.1631216786677	2916.6806824571363	4323.194270214742	1.160424	26.624687	0.09397343	0.051466883	-0.05962971	0.036859924700000005	-0.1324118235	-0.0048599591	0.0075345204	-0.0708519941	-0.0052754589	0.0445221563	-0.1442608681	0.011691493	0.0037196576	0.0880142364	0.08689506960000001	0.08504032119999999	0.0	0.0	0.0	0.0	-0.0621735	0.041084	-0.00422198	0.0010898	0.0009636750000000002	-0.00156335
